,상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
0,#먹빵,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 권광로180번길 41,1층 (인계동)",경기도 수원시 팔달구 인계동 1121-10번지 1층,인계동,16488.0,37.2632009359,127.035100947
1,(CPC)켈리포니아피자치킨 수원연무점,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 장안구 월드컵로429번길 17,1층 (연무동)",경기도 수원시 장안구 연무동 258-23번지 1층,연무동,16221.0,37.2930419498,127.0249889398
2,(Cafe)화서문 41-1,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 화서문로 41-1화서문 CAFE (장안동),경기도 수원시 팔달구 장안동 286-2번지 화서문 CAFE,장안동,16250.0,37.2853478616,127.0126167418
3,(MOOㅇO)무,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 장안구 금당로89번길 8,1층 (조원동)",경기도 수원시 장안구 조원동 456-17번지 1층,조원동,16280.0,37.301358917600005,127.0198139008
4,(愛):사랑,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 경수대로495번길 19(인계동,1층)",경기도 수원시 팔달구 인계동 965-18번지 1층,인계동,16481.0,37.2704236413,127.026642449
5,(미정)시골집,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 구운로14번길25 (구운동,1층)",경기도 수원시 권선구 구운동 500-4번지 1층,구운동,16409.0,37.277998653000004,126.9760716208
6,(신)대원옥,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 정조로800번길 6-3,1층(팔달로1가)",경기도 수원시 팔달구 팔달로1가 64-1번지 1층,팔달로1가,16257.0,37.2793458162,127.0173141967
7,(장안)전주콩나물국밥,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 조원로89번길 31(조원동),경기도 수원시 장안구 조원동 766-11번지,조원동,16286.0,37.2998501693,127.0145541768
8,(주)더덴버스테이크,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 정조로 7357층 (중동),경기도 수원시 팔달구 중동 94번지 7층,중동,16263.0,37.273653206700004,127.01613236610001
9,(주)더케이푸드컴퍼니,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 경수대로 1013(송죽동),경기도 수원시 장안구 송죽동 440-3번지,송죽동,16300.0,37.3062283022,127.000667365
10,(주)더케이푸드컴퍼니,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 경수대로 1013(송죽동),경기도 수원시 장안구 송죽동 440-3번지,송죽동,16300.0,37.3062283022,127.000667365
11,(주)디앤아이에프씨,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 경수대로446번길 45(인계동),경기도 수원시 팔달구 인계동 1032-11번지,인계동,16489.0,37.265502809699996,127.0290980666
12,(주)라떼르떼레노시떼삼성전자소재연구단지,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 삼성로130, V-V39동 1층 전자연구단지 (매탄동)",경기도 수원시 영통구 매탄동 560번지 전자연구단지 V-V39동 1층,매탄동,16678.0,37.2571279192,127.05688026690001
13,(주)로얄부페,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 영통동1009-3효원빌딩501호,601호","경기도 수원시 영통구 영통동 1009-3효원빌딩501호,601호",영통동,16705.0,37.2510773432,127.07597227049999
14,(주)메세지베이아시아,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 효원로256번길 33한라비발디파크 102호(권선동),경기도 수원시 권선구 권선동 1013-4번지 한라비발디파크 102호,권선동,16571.0,37.2603926562,127.02928776659999
15,(주)몽키친,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 권광로92번길 25, 1층 우측 (권선동)",경기도 수원시 권선구 권선동 1039-6번지 1층 우측,권선동,16561.0,37.2567012805,127.0303820417
16,(주)백세고색점,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 서부로 1533(고색동),경기도 수원시 권선구 고색동 431-1번지,고색동,16641.0,37.2461048651,126.9775440642
17,(주)백세추어매운탕,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 서부로 1535(고색동),경기도 수원시 권선구 고색동 431-15번지,고색동,16641.0,37.2460303665,126.9770033649
18,(주)베르체,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 경수대로 613(지동),경기도 수원시 팔달구 지동 481-4번지,지동,16249.0,37.2803157854,127.02987438790001
19,(주)별하 라운지카페,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 아주로 34,3층 (원천동)",경기도 수원시 영통구 원천동 22-1번지 3층,원천동,16502.0,37.2778474515,127.0440800491
20,(주)상리라,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 아주로46 (원천동,302-1호)",경기도 수원시 영통구 원천동 18-1번지,원천동,16502.0,37.2788029492,127.04408556620001
21,(주)상리라,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 팔달구 매산로20번길 16-8,1층 (매산로1가)",경기도 수원시 팔달구 매산로1가 56-14번지 1층,매산로1가,16461.0,37.266613215599996,127.0030493959
22,(주)설빙광교호수공원점,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 법조로 38,B105호 (하동)",경기도 수원시 영통구 하동 1019번지 광교더샵레이크파크 B105호,하동,16514.0,37.2869762244,127.0625716397
