,동명,결제건수,결제금액,상권개수
0,고등동,58712,1007247549,146
1,고색동,173166,4166650041,231
2,곡반정동,163686,2848145504,263
3,교동,34180,682728188,59
4,구운동,158672,3476111530,255
5,구천동,11321,169038411,8
6,권선동,709045,15284696237,827
7,금곡동,544789,11559944550,455
8,남수동,15533,336815701,61
9,남창동,16537,348945831,42
10,당수동,54732,979065360,51
11,대황교동,9363,301830240,2
12,망포동,427988,9317367319,236
13,매교동,76889,792724593,49
14,매산동,290285,5413152822,476
15,매탄동,933051,17439978053,1009
16,매향동,10415,120098604,13
17,북수동,27472,352806291,71
18,상광교동,4446,115292729,14
19,서둔동,73177,1174059877,93
20,세류동,291376,5247274724,492
21,송죽동,203376,3658298345,306
22,신동,87818,1843127608,162
23,신풍동,31152,610378812,89
24,연무동,151893,2246394231,207
25,영동,63142,1703860913,32
26,영통동,1016909,24399979565,983
27,영화동,201938,3650116494,484
28,오목천동,116338,2139173453,112
29,우만동,434388,7033090783,453
30,원천동,328432,5664044949,410
31,율전동,397016,6364675993,382
32,이목동,66941,1557991106,26
33,이의동,585182,13512010760,564
34,인계동,614951,14672099347,1128
35,입북동,30558,727248792,18
36,장안동,24132,420086888,64
37,장지동,652,8877220,2
38,정자동,831856,13937893470,558
39,조원동,361280,6389253765,302
40,중동,5958,121303488,26
41,지동,163191,2712521123,124
42,천천동,358350,6925845929,218
43,탑동,218749,3636985546,260
44,파장동,257095,4117862707,248
45,평동,21151,765386560,34
46,평리동,2022,21799561,2
47,하광교동,7223,163269688,20
48,하동,172495,3271227057,260
49,행궁동,130506,2662343844,147
50,호매실동,343218,6765677573,236
51,화서동,501703,8315287661,434
