행정구역,20대,30대,40대,남_20대,남_30대,남_40대,여_20대,여_30대,여_40대
고등동,1197,1069,1242,634,625,684,563,444,558
곡선동,5270,5207,4887,2811,2979,2739,2459,2228,2148
광교동,11633,14907,16240,5369,7103,7956,6264,7804,8284
권선동,11773,12377,12644,6030,6189,6245,5743,6188,6399
금곡동,6247,6662,8107,3205,3306,4034,3042,3356,4073
망포동,7977,10775,11334,4152,5240,5620,3825,5535,5714
매교동,893,884,805,486,476,461,407,408,344
매산동,1868,1633,1398,1023,916,809,845,717,589
매탄동,15843,12974,15879,8582,6964,7739,7261,6010,8140
서둔동,5848,5299,6038,3096,2923,3183,2752,2376,2855
세류동,7778,7802,8132,4095,4347,4308,3683,3455,3824
송죽동,3036,2633,3029,1529,1373,1517,1507,1260,1512
연무동,2617,1799,2110,1523,1057,1180,1094,742,930
영통동,17012,16705,17453,9183,8740,8437,7829,7965,9016
영화동,2714,2457,2859,1412,1381,1560,1302,1076,1299
우만동,6897,5074,5700,3723,2758,2856,3174,2316,2844
운동,3934,3232,3707,2075,1737,1901,1859,1495,1806
원천동,6522,7486,7230,3344,3777,3794,3178,3709,3436
율천동,10070,5829,6474,6164,3101,3223,3906,2728,3251
인계동,7820,7190,6205,3876,3962,3208,3944,3228,2997
입북동,2051,2261,3212,1087,1157,1648,964,1104,1564
정자동,14705,11510,19413,7697,5705,9258,7008,5805,10155
조원동,7304,5266,7369,3819,2738,3605,3485,2528,3764
지동,1352,1171,1604,753,650,872,599,521,732
파장동,3398,2945,3641,1856,1559,1862,1542,1386,1779
평동,6359,5737,6124,3427,2992,3135,2932,2745,2989
행궁동,1487,1280,1428,739,756,859,748,524,569
호매실동,5074,9231,8340,2513,4526,4438,2561,4705,3902
화서동,7300,6041,8329,3749,3012,4044,3551,3029,4285
