동,대지,주차장,도로,공원,체육용지,주차장면적/대지(%),체육용지유무
고등동,636808,1382,200471,1045,0,0.22,0
고색동,805980,32969,742749,287418,13502,4.09,1
곡반정동,377577,35627,260895,45011,0,9.44,0
교동,163742,0,37239,0,0,0.0,0
구운동,668053,3767,358174,112258,0,0.56,0
구천동,35985,0,13767,0,0,0.0,0
권선동,2122641,19947,966087,396523,0,0.94,0
금곡동,944912,14720,383467,385628,0,1.56,0
남수동,98262,1053,30916,0,0,1.07,0
남창동,85930,0,11821,0,0,0.0,0
당수동,252330,471,131208,13951,0,0.19,0
대황교동,22291,2365,103960,0,0,10.61,0
망포동,1070112,297,410729,16298,15658,0.03,1
매교동,261031,2117,88268,0,0,0.81,0
매산동,472045,287,146127,0,0,0.06,0
매탄동,1955610,8666,703913,241504,5802,0.44,1
매향동,108088,0,41610,0,0,0.0,0
북수동,77619,0,43880,0,0,0.0,0
상광교동,39054,0,59534,0,0,0.0,0
서둔동,1105276,9603,318622,50644,2175,0.87,1
세류동,1577671,26022,656067,18118,0,1.65,0
송죽동,526679,2647,217854,5981,8327,0.5,1
신동,234744,2105,114105,33744,0,0.9,0
신풍동,138184,906,29712,0,0,0.66,0
연무동,500002,649,162320,11660,0,0.13,0
영동,25532,0,10981,0,0,0.0,0
영통동,1602983,334,796872,538627,16514,0.02,1
영화동,740923,3001,287648,32099,0,0.41,0
오목천동,618036,40410,280793,32413,0,6.54,0
우만동,999869,1597,351910,26683,2073,0.16,1
원천동,1002255,9408,467279,389782,0,0.94,0
율전동,601550,2648,363272,6519,0,0.44,0
이목동,384176,17797,345426,7933,0,4.63,0
이의동,1657463,45186,1092799,1101161,905,2.73,1
인계동,1496044,6837,685728,244682,0,0.46,0
입북동,205085,0,219649,12651,0,0.0,0
장안동,77820,0,21567,0,0,0.0,0
장지동,8987,5,10209,0,0,0.06,0
정자동,1915171,7785,594979,233271,8307,0.41,1
조원동,1067892,2203,421594,21287,186790,0.21,1
중동,25327,0,17329,0,0,0.0,0
지동,547631,19179,152893,4735,1695,3.5,1
천천동,540445,0,304438,79214,4210,0.0,1
탑동,629382,6793,362729,61697,5127,1.08,1
파장동,682603,18731,595857,12872,0,2.74,0
평동,215586,23876,102613,0,0,11.07,0
평리동,10954,2191,20921,9172,0,20.0,0
하광교동,68058,0,227624,16766,0,0.0,0
하동,690190,52683,496944,1434773,235190,7.63,1
행궁동,131020,401,50335,1014,0,0.31,0
호매실동,1045817,32231,432705,321390,0,3.08,0
화서동,1167182,7991,464830,123710,0,0.68,0
