,동명,결제건수,결제금액,상권개수,인구,주차장,주차장면적/대지(%)
0,고등동,58712,1007247549,146,9191,1382,0.22
1,구운동,158672,3476111530,255,24793,3767,0.56
2,권선동,709045,15284696237,827,74405,19947,0.94
3,금곡동,544789,11559944550,455,45833,14720,1.56
4,망포동,427988,9317367319,236,60048,297,0.03
5,매교동,76889,792724593,49,5988,2117,0.81
6,매산동,290285,5413152822,476,10677,287,0.06
7,매탄동,933051,17439978053,1009,91797,8666,0.44
8,서둔동,73177,1174059877,93,38247,9603,0.87
9,세류동,291376,5247274724,492,53403,26022,1.65
10,송죽동,203376,3658298345,306,19673,2647,0.5
11,연무동,151893,2246394231,207,16314,649,0.13
12,영통동,1016909,24399979565,983,95600,334,0.02
13,영화동,201938,3650116494,484,20340,3001,0.41
14,우만동,434388,7033090783,453,37713,1597,0.16
15,원천동,328432,5664044949,410,39135,9408,0.94
16,인계동,614951,14672099347,1128,39069,6837,0.46
17,입북동,30558,727248792,18,16909,0,0.0
18,정자동,831856,13937893470,558,102668,7785,0.41
19,조원동,361280,6389253765,302,47908,2203,0.21
20,파장동,257095,4117862707,248,23611,18731,2.74
21,평동,21151,765386560,34,41043,23876,11.07
22,행궁동,130506,2662343844,147,10916,401,0.31
23,호매실동,343218,6765677573,236,46514,32231,3.08
24,화서동,501703,8315287661,434,50070,7991,0.68
