상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
#먹빵,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 권광로180번길 41,1층 (인계동)",경기도 수원시 팔달구 인계동 1121-10번지 1층,인계동,16488,37.26320094,127.0351009
(CPC)켈리포니아피자치킨 수원연무점,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 장안구 월드컵로429번길 17,1층 (연무동)",경기도 수원시 장안구 연무동 258-23번지 1층,연무동,16221,37.29304195,127.0249889
(Cafe)화서문 41-1,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 화서문로 41-1화서문 CAFE (장안동),경기도 수원시 팔달구 장안동 286-2번지 화서문 CAFE,장안동,16250,37.28534786,127.0126167
(MOOㅇO)무,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 장안구 금당로89번길 8,1층 (조원동)",경기도 수원시 장안구 조원동 456-17번지 1층,조원동,16280,37.30135892,127.0198139
(愛):사랑,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 경수대로495번길 19(인계동,1층)",경기도 수원시 팔달구 인계동 965-18번지 1층,인계동,16481,37.27042364,127.0266424
(미정)시골집,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 구운로14번길25 (구운동,1층)",경기도 수원시 권선구 구운동 500-4번지 1층,구운동,16409,37.27799865,126.9760716
(신)대원옥,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 정조로800번길 6-3,1층(팔달로1가)",경기도 수원시 팔달구 팔달로1가 64-1번지 1층,행궁동,16257,37.27934582,127.0173142
(장안)전주콩나물국밥,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 조원로89번길 31(조원동),경기도 수원시 장안구 조원동 766-11번지,조원동,16286,37.29985017,127.0145542
(주)더덴버스테이크,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 정조로 7357층 (중동),경기도 수원시 팔달구 중동 94번지 7층,중동,16263,37.27365321,127.0161324
(주)더케이푸드컴퍼니,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 경수대로 1013(송죽동),경기도 수원시 장안구 송죽동 440-3번지,송죽동,16300,37.3062283,127.0006674
